name,family,size,wing span,url
Adonis Blue,Blues,Small/Medium,38mm,https://butterfly-conservation.org//butterflies/adonis-blue
Black Hairstreak,Hairstreaks,Small/Medium,37mm,https://butterfly-conservation.org//butterflies/black-hairstreak
Brimstone,Whites and Yellows ,Large,60mm,https://butterfly-conservation.org//butterflies/brimstone
Brown Argus,Blues,Small,29mm,https://butterfly-conservation.org//butterflies/brown-argus
Brown Hairstreak,Hairstreaks,Small/Medium,38-40mm,https://butterfly-conservation.org//butterflies/brown-hairstreak
Chalk Hill Blue,Blues,Small/Medium,38mm,https://butterfly-conservation.org//butterflies/chalk-hill-blue
Chequered Skipper,,,29-31mm,https://butterfly-conservation.org//butterflies/chequered-skipper
Clouded Yellow,Whites and yellows,Large ,57-62mm,https://butterfly-conservation.org//butterflies/clouded-yellow
Common Blue,Blues,Small,35mm,https://butterfly-conservation.org//butterflies/common-blue
Dark Green Fritillary,Fritillaries,Large,63-69mm,https://butterfly-conservation.org//butterflies/dark-green-fritillary
Dingy Skipper,Skippers,Small,29mm,https://butterfly-conservation.org//butterflies/dingy-skipper
Essex Skipper,Skippers,Small ,27-30mm,https://butterfly-conservation.org//butterflies/essex-skipper
Gatekeeper,Browns,Medium,40-47mm,https://butterfly-conservation.org//butterflies/gatekeeper
Glanville Fritillary,Fritllaries,Small/Medium,41-47mm,https://butterfly-conservation.org//butterflies/glanville-fritillary
Grayling,Browns,Medium/Large,55-60mm,https://butterfly-conservation.org//butterflies/grayling
Green Hairstreak,Hairstreaks,Small,27-34mm,https://butterfly-conservation.org//butterflies/green-hairstreak
Green-veined White,Whites and yellows,Medium,50mm,https://butterfly-conservation.org//butterflies/green-veined-white
Heath Fritillary,Fritillaries,Small/Medium,47-50mm,https://butterfly-conservation.org//butterflies/heath-fritillary
High Brown Fritillary,Fritillaries,Large,60-67mm,https://butterfly-conservation.org//butterflies/high-brown-fritillary
Holly Blue,Blues,Small , 35mm,https://butterfly-conservation.org//butterflies/holly-blue
Large Heath,Browns,Small/Medium,41mm,https://butterfly-conservation.org//butterflies/large-heath
Large Skipper,Skippers,Small,33-35mm,https://butterfly-conservation.org//butterflies/large-skipper
Large Tortoiseshell,Nymphalids,Large,68-75mm,https://butterfly-conservation.org//butterflies/large-tortoiseshell
Large White,Whites and yellows,Large , 63-70mm,https://butterfly-conservation.org//butterflies/large-white
Lulworth Skipper,Skippers,Small,25-27mm,https://butterfly-conservation.org//butterflies/lulworth-skipper
Marbled White,Browns,Medium,53-58mm,https://butterfly-conservation.org//butterflies/marbled-white
Marsh Fritillary,Fritillaries,Medium,42-48mm,https://butterfly-conservation.org//butterflies/marsh-fritillary
Meadow Brown,Browns,Medium,50-55mm,https://butterfly-conservation.org//butterflies/meadow-brown
Monarch,Nymphalids,Large,95-100mm,https://butterfly-conservation.org//butterflies/monarch
Mountain Ringlet,,,35-38mm,https://butterfly-conservation.org//butterflies/mountain-ringlet
Northern Brown Argus,Blues,Small,29mm,https://butterfly-conservation.org//butterflies/northern-brown-argus
Orange-tip,Whites and yellows,Medium,45-50mm,https://butterfly-conservation.org//butterflies/orange-tip
Painted Lady,Nymphalids,Medium,50-56mm,https://butterfly-conservation.org//butterflies/painted-lady
Peacock,Nymphalids,Medium/Large ,63-69mm,https://butterfly-conservation.org//butterflies/peacock
Pearl-bordered Fritillary,Fritillaries,Medium,44-47mm,https://butterfly-conservation.org//butterflies/pearl-bordered-fritillary
Purple Emperor,Nymphalids,Large,75-84mm,https://butterfly-conservation.org//butterflies/purple-emperor
Purple Hairstreak,Hairstreaks,Small,37-39mm,https://butterfly-conservation.org//butterflies/purple-hairstreak
Red Admiral,Nymphalids,Large, 67-72mm,https://butterfly-conservation.org//butterflies/red-admiral
Ringlet,Browns,Medium,48-52mm,https://butterfly-conservation.org//butterflies/ringlet
Scotch Argus,Browns,Medium,35-40mm,https://butterfly-conservation.org//butterflies/scotch-argus
Silver-spotted Skipper,Skippers,Small ,30-36mm,https://butterfly-conservation.org//butterflies/silver-spotted-skipper
Silver-studded Blue,Blues,Small ,29-31mm,https://butterfly-conservation.org//butterflies/silver-studded-blue
Silver-washed Fritillary,Fritillaries,Large,72-76mm,https://butterfly-conservation.org//butterflies/silver-washed-fritillary
Small Blue,Blues,Small ,20-30mm,https://butterfly-conservation.org//butterflies/small-blue
Small Copper,Coppers,Small,32-35mm,https://butterfly-conservation.org//butterflies/small-copper
Small Heath,Browns,Small,34-38mm,https://butterfly-conservation.org//butterflies/small-heath
Small Pearl-bordered Fritillary,Fritillaries,Medium,41-44mm,https://butterfly-conservation.org//butterflies/small-pearl-bordered-fritillary
Small Skipper,Skippers,Small ,30mm,https://butterfly-conservation.org//butterflies/small-skipper
Small Tortoiseshell,Nymphalids,Medium/Large,50-56mm,https://butterfly-conservation.org//butterflies/small-tortoiseshell
Small White,Whites and yellows,Medium,48mm,https://butterfly-conservation.org//butterflies/small-white
Speckled Wood,Browns,Medium ,47-50mm,https://butterfly-conservation.org//butterflies/speckled-wood
Swallowtail,Swallowtails,Large,80-90mm,https://butterfly-conservation.org//butterflies/swallowtail
Wall,Browns,Medium,44 - 46mm,https://butterfly-conservation.org//butterflies/wall
White Admiral,,Medium/Large,60-64mm,https://butterfly-conservation.org//butterflies/white-admiral
White-letter Hairstreak,Hairstreaks,Small/Medium,36mm,https://butterfly-conservation.org//butterflies/white-letter-hairstreak
Wood White,Whites and yellows,Medium, 42mm,https://butterfly-conservation.org//butterflies/wood-white
